Node,Cluster
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,11
11,11
12,11
13,11
14,11
15,11
16,11
17,11
18,11
19,11
20,12
21,12
22,12
23,12
24,12
25,12
26,12
27,12
28,12
29,12
30,2
31,2
32,2
33,2
34,2
35,2
36,2
37,2
38,2
39,2
40,3
41,3
42,3
43,3
44,3
45,3
46,3
47,3
48,3
49,3
50,6
51,6
52,6
53,6
54,6
55,6
56,6
57,6
58,6
59,6
60,5
61,5
62,5
63,5
64,5
65,5
66,5
67,5
68,5
69,5
70,9
71,9
72,9
73,9
74,9
75,9
76,9
77,9
78,9
79,9
80,7
81,7
82,7
83,7
84,7
85,7
86,7
87,7
88,7
89,7
90,5
91,5
92,5
93,5
94,5
95,5
96,5
97,5
98,5
99,5
100,8
101,8
102,8
103,8
104,8
105,8
106,8
107,8
108,8
109,8
110,10
111,10
112,10
113,10
114,10
115,10
116,10
117,10
118,10
119,10
120,4
121,4
122,4
123,4
124,4
125,4
126,4
127,4
128,4
129,4
130,11
131,11
132,11
133,11
134,11
135,11
136,11
137,11
138,11
139,11
140,5
141,5
142,5
143,5
144,5
145,5
146,5
147,5
148,5
149,5
